"episode_number","title","date"
345,"The Rogan Roast",2022-04-28
344,"Yannis Pappas & the Kryptonite Butthole ",2022-04-21
343,"Will Sasso, Canadian Science, the MADtv Bus, & AI Farts",2022-04-14
342,"Bobby’s Demonic Possessed Stroke",2022-04-07
341,"We Need An Alien Invasion w/ Jessica Kirson",2022-03-31
340,"Trevor Wallace & The Verified Bro",2022-03-24
339,"Dom Monaghan and the Return of the Slept King",2022-03-17
338,"The History of Hip Hop With Urban Bob",2022-03-10
337,"Akaash Singh and the It’s Not Your Fault Hug",2022-03-03
336,"Marc Maron Burns Money with Kinison",2022-02-24
335,"The Spirit of Honesty",2022-02-17
334,"You Don’t Know How to Do It",2022-02-10
333,"Andrew Schulz, Save The Date!",2022-02-03
332,"The Poto King",2022-01-27
331,"Jim Gaffigan, Fellow Korean",2022-01-20
330,"The Ballgown Guest We Refused to Name, Megan Gailey",2022-01-13
329,"7 Days on a Deathbed w/ Rick Ingraham",2021-12-30
328,"Meghan Trainor & The Wicked Witch of the Wild Wild West",2021-12-23
327,"Tony Hawk, Jason Ellis, You’re Gonna Love These Guys!",2021-12-16
326,"Bill Burr and Does Bobby Feel Special?",2021-12-09
325,"John Cho & The Star Trek Future",2021-12-02
324,"Judd Apatow and the Pineapple Express Trailer Incident",2021-11-25
323,"1000 Cuddles & Korean Elvis Returns",2021-11-18
322,"Awkwafina & The Care Bear Inside",2021-11-11
321,"Steebee & Jeremiah & the School of Shoulda, Coulda, Woulda",2021-11-04
320,"Rick Glassman Goes Full Moon Manic",2021-10-28
319,"Theo Von, Beat ’Em and Eat ’Em!",2021-10-21
318,"Matt Walsh & The Pecking Order",2021-10-14
317,"Bobby’s 80 Billboards ",2021-10-07
316,"Howie Mandel & The Magical Phone Call",2021-09-30
315,"Rosebud Baker and Bobo & Kholoko’s Big Fight",2021-09-23
314,"Shane Gillis, of Rice & Men",2021-09-16
313,"Taylor Tomlinson Goes to Space",2021-09-09
312,"Gareth Reynolds (The Dollop) Goes Back To Kid’s Birthdays",2021-09-02
311,"Godfrey & The Cheddar Man",2021-08-26
310,"Sterlin Harjo (Reservation Dogs) & The Tulsa Lime Tour",2021-08-19
309,"Ms. Pat’s 1st Asian Friend",2021-08-12
308,"Erik Griffin & Khalyla’s Lingerie",2021-08-05
307,"The Angler Man Origin Story!",2021-07-29
306,"Sam Morril & The New York New Breed",2021-07-22
305,"Kristen Kish Cooks Happy Food",2021-07-15
304,"A Huge Ahoy w/ Chad and JT Go Deep Podcast",2021-07-08
300,"David Choe, Steven Yeun, & The Lord of the Bobby Lee Rings",2021-07-01
303,"He’s Back, the Edgelord Millionaire",2021-06-24
302,"The Sarah Hyland & Steebee WeeBee Reunion",2021-06-17
301,"Joshua Tree Special pt 2 ’We Meet the Parents’",2021-06-10
299,"Joshua Tree Special pt 1 ’The Closing Statement’",2021-06-03
298,"Best Stand Up In The Country, Sarah Tiana",2021-05-27
297,"Anthony Jeselnik Brings the Funeral Vibes",2021-05-20
296,"Chris Distefano, It’s Asian Boy Summer!",2021-05-13
295,"Mark Normand Thinks You’re Cute",2021-05-06
294,"Can You Look a Little Less Bobby Lee?",2021-04-29
293,"Yannis Pappas Presents Karate Them",2021-04-22
292,"Trisha Paytas & The Matzo Ball Meet-Cute",2021-04-15
291,"George Lopez Has a Haunting",2021-04-08
290,"Bobby’s Ex Sarah Hyland, Surprise!",2021-04-01
289,"Tom Segura & The Hook Up",2021-03-25
288,"The Baby Shower",2021-03-18
287,"Gina Darling is a Sniper",2021-03-11
286,"Bert Kreischer Fights 5 Gracies",2021-03-04
285,"Jade Catta-Preta and the Car Crash Fantasy",2021-02-25
284,"Matty Matheson is our Joy Boy",2021-02-18
283,"The Soup Retaliation",2021-02-11
282,"Chris Kattan & The Upper Middle",2021-02-04
281,"Mafia Handshake Engagement",2021-01-28
280,"The Proposal w/ Annie Lederman & Esther Povitsky",2021-01-21
279,"Carlos Mencia",2021-01-14
278,"Bobby is Set Free",2021-01-07
277,"Andrew Schulz & The Dirtbags",2020-12-20
276,"A Fresh of Breath Air",2020-12-17
275,"Jeremiah Watkins is The Sacrificial Lamb",2020-12-10
274,"Bill Burr is on Bobby’s Radar",2020-12-03
273,"Jessimae Peluso is Our Sunbeam",2020-11-24
272,"David So & The Gun",2020-11-19
271,"Whitney Cummings & The Non-Proposal",2020-11-12
270,"Popstickle Sticks",2020-11-05
269,"Pauly Shore, Sauna Time!",2020-10-29
268,"Annie Lederman Steals The Punchline",2020-10-22
267,"Donnell Rawlings & The White Korean",2020-10-15
266,"My Beautiful Octopus Lover",2020-10-08
265,"Michael Bisping, Rebecca, and The Blue Check",2020-10-01
264,"Jo Koy’s Self-Help Pep Cult",2020-09-24
263,"Kassem G is Timeless",2020-09-17
262,"Bobby Feels Threatened w/ Sherry Cola",2020-09-10
261,"Steve-O Lasts 431 Days",2020-09-03
260,"Death by Refrigerator",2020-08-27
259,"Rick Glassman and Agents of Chaos",2020-08-20
258,"David Spade and The Rattlesnake",2020-08-13
257,"Christina Pazsitzky, Breaker Breaker",2020-08-06
256,"From Cellar Door To Diplo w/ Brandon Dermer",2020-07-30
255,"Congratulations, George!",2020-07-23
254,"Esther Povitsky and the Amazon Prime Time Meltdown",2020-07-16
253,"Joey Santiago (Pixies) and the Birds Nest",2020-07-09
252,"Theo Von Is Good & Plenty",2020-07-02
251,"Papa’s Pet Roach",2020-06-25
250,"Bobby’s Little Sister",2020-06-18
249,"Crow Update #1",2020-06-11
248,"Simpletons Speaking",2020-06-04
247,"The Honorable Judge Asa Akira",2020-05-28
246,"It’s Not a Joystick",2020-05-21
245,"The Tragedy Whisperer w/ Nick Swardson & Lauren Lapkus",2020-05-14
244,"Forehead Fireworks w/ Bretman Rock and Big Ed",2020-05-07
243,"Cave Movies",2020-04-30
242,"A Huge Heart w/ Eric Stonestreet",2020-04-23
241,"Dust to Dust w/ Veritasium",2020-04-16
240,"Steve Lee’s Movie Idea",2020-04-09
239,"My First Pandy",2020-04-02
238,"Sasha Grey & The King Size Heads",2020-03-26
237,"Bert Kreischer, Circle Thinking and The Lemon Tree",2020-03-19
236,"Roy Choi, We’re Cool Now",2020-03-12
235,"Poway Hall of Fame",2020-03-05
234,"Rory Scovel, High-Fiving God",2020-02-27
233,"T.J. Miller Can’t Make The Make-A-Wish Kids Laugh",2020-02-20
232,"The Hawaii Episode with Jay Hernandez and Perdita Weeks",2020-02-13
231,"Andrew Dice Clay & the One Leg Up",2020-02-06
230,"Moshe Kasher & the Consequences of a Primate",2020-01-30
229,"Tiffany Haddish Spreads the Joy",2020-01-23
228,"East Coast Fever with Chris Distefano & Yannis Pappas",2020-01-16
227,"Less Beef, More You",2020-01-09
226,"Andrew Schulz & The Arms of Naan",2019-12-23
225,"Jade Catta-Preta & The Blessing Of The Hounds",2019-12-19
224,"Theo Von & The Guillotine",2019-12-12
223,"Michael Rosenbaum Says I Love You",2019-12-05
222,"Bryan Callen & The Amazing Sphincter",2019-11-27
221,"Hello to the New",2019-11-21
220,"Goodbye to The Old",2019-11-14
219,"Esther Povitsky and The Fake Nail",2019-11-07
218,"Jolly White Cheeks",2019-10-31
217,"Jon Reep & The Shaky Shoulder",2019-10-24
216,"Rob Schneider Is Homeless in Hawaii",2019-10-17
215,"We Survived H3",2019-10-10
214,"The Third Sack",2019-10-03
213,"Bobby Lee’s Umma",2019-09-26
212,"Two Fake Mustaches",2019-09-19
211,"Hawaii Sweats",2019-09-12
210,"Andrew Santino is in The Shallow",2019-09-05
209,"Go Get ’em Gob!",2019-08-26
208,"The Arizona Episode",2019-08-22
207,"Scorpion Lashes w/ Erik Griffin",2019-08-15
206,"David So, Geo Antoinette & Asian Superman",2019-08-08
205,"A Time of Love, Hate & Betrayal",2019-08-01
204,"Johnny Sanchez, Funny is Funny",2019-07-25
203,"Brittany Furlan Is Godzilla",2019-07-18
202,"Andrew Santino & The Big Bomb",2019-07-11
201,"No One Is Calling Papa",2019-07-04
200,"Jo Koy, It’s A Ridiculous",2019-06-27
199,"Eric Stonestreet is Eric Backstreet",2019-06-20
198,"Mo Collins, Show Me Your Meatholes",2019-06-13
197,"Steve Byrne & Bobby Lee Bury a Hatchet",2019-06-06
196,"Noah Mac & The Banker",2019-05-30
195,"Brendan Schaub is a Location Shamer",2019-05-23
194,"Fat & Wild",2019-05-16
193,"Andy Dick",2019-05-09
192,"Paul Banks of Interpol on the 14th Take",2019-05-02
191,"Sweet Beef",2019-04-25
190,"Tom Rhodes Sees Curvature",2019-04-18
189,"Sosie Bacon is Fresh",2019-04-11
188,"Dane Cook and The Pressure Players",2019-04-04
187,"The Great Juice Battle",2019-03-28
186,"Dr. Drew & The Cold Jerky",2019-03-21
185,"Craig Ferguson, Nothing Changes if Nothing Changes",2019-03-14
184,"One Line of Disaster ",2019-03-07
183,"Theo Von & Slampy The Dwarf",2019-02-28
182,"What’s Up With Jimmy?",2019-02-21
181,"Krystyna Hutchinson & The Power Move",2019-02-14
180,"Nick Rutherford is Sharkboy",2019-02-07
179,"The Tooth Connection",2019-01-31
178,"Dillon Francis Shoots to the Moon",2019-01-24
177,"Michael Bisping & The Chinese Proverb",2019-01-17
176,"Nikki Glaser & The Robots",2019-01-10
175,"Chris D’Elia Loves a Silly Goose Time",2019-01-03
174,"Dumbfoundead is the Councilman",2018-12-27
173,"Andrew Santino & the Red N Yellow",2018-12-20
172,"Christina Pazsitzky & The HOV Gooch",2018-12-13
171,"Pumpkin Pie Master",2018-12-06
170,"Erik Griffin & The Sopranos Ending",2018-11-29
169,"David So is David Fasso",2018-11-21
168,"Pretzel & Potato Pubes",2018-11-15
167,"Fahim Anwar & The Loyal Lizard",2018-11-08
166,"Steebee Weebee & Monotone Bob",2018-11-01
165,"Conduits & Connectors",2018-10-25
164,"The Ruen Brothers & Monster Jack The Yeti",2018-10-18
163,"Felipe Esparza Is Carnage Asada",2018-10-11
144,"Whitney Cummings & Life’s Bread",2018-10-06
162,"Harland Williams Forgives You",2018-10-04
161,"Michael Rosenbaum & The Landing Dock",2018-09-27
160,"Happy Birthday, Captain",2018-09-20
159,"Eleanor Kerrigan and The Twenty Year War",2018-09-13
158,"The Wrong Yearbook",2018-09-06
157,"Dave Navarro & The Railroad Switch",2018-08-30
156,"Cricket & A Bat Wing",2018-08-23
155,"Thomas Lennon & The Rising Tide",2018-08-16
154,"(Don’t) Hold Your Breath",2018-08-09
153,"Theo Von & The Frisbee",2018-08-02
152,"Mike Boudet From Sword & Scale",2018-07-26
151,"A Horse Named Sizzler",2018-07-19
150,"Kyle Dunnigan is in Our Satellite",2018-07-12
149,"A Demon God?",2018-07-06
148,"Adam Ray is Our Neighbor",2018-06-28
147,"Bend it like Bobo",2018-06-21
146,"Dillon Francis is our CW",2018-06-14
145,"Hila and Ethan Klein of H3",2018-06-07
143,"Joey Diaz & American Ingenuity",2018-05-24
142,"Moshi The Nugget",2018-05-17
141,"Jamie Kennedy & The Shift",2018-05-10
140,"Independence Day",2018-05-03
139,"Natasha Leggero & The Stir Fry",2018-04-26
138,"Toes On The Table",2018-04-19
1,"Too Much Foreskin and Fungusfoot",2018-04-16
137,"Bert Kreischer & The Hunt For Ice",2018-04-12
136,"Lindsay Price is not MJ",2018-04-05
135,"Trap & Vortex",2018-03-29
134,"Oliver Hudson & The Rice Krispies",2018-03-22
133,"Dumbfoundead & The Fax Machine",2018-03-16
132,"Will Sasso is our Precious Diamond",2018-03-08
131,"Standing in the Rain",2018-03-01
130,"Brody Stevens & The Idle Time",2018-02-22
129,"Joe Jitsukawa has Lazer Eyes",2018-02-15
128,"Conduit of Love",2018-02-08
127,"Tom Segura Shares his Limo",2018-02-01
126,"Sosie Bacon is our Comrade",2018-01-25
125,"Dante Chang Renegotiates",2018-01-18
124,"Jean-Bob",2018-01-11
123,"Steebeeweebee Goes Red",2018-01-04
122,"Jimmy O. Yang & The Woman in the Closet",2017-12-21
121,"Geo Antoinette is a Pioneer",2017-12-14
120,"Angel with no Wings",2017-12-07
119,"Sam Tripoli & The Ghost of Lee",2017-11-30
118,"Eureka, Science Alert!",2017-11-22
117,"Russell Peters and a Korean War",2017-11-16
116,"Taran Killam & Little Whale Teeth",2017-11-09
115,"Two Truths and a Lie",2017-11-02
114,"Jesus Trejo is a Serial Doodler",2017-10-26
113,"The Constantine",2017-10-19
112,"Teddy Talk & Riverside Cafe",2017-10-12
111,"Pweef Pweef",2017-10-05
110,"Jo Koy is on Tiger Duty",2017-09-28
109,"James Van Der Beek is our GW",2017-09-21
108,"Steebee James & the Waffle",2017-09-14
107,"Michael Rosenbaum is the Night King",2017-09-07
106,"Erik Koch is the Phoenix",2017-09-01
105,"Pauly Shore & The Chinese Baby",2017-08-24
104,"Sharks and the Wizard of Woz",2017-08-17
103,"Awkwafina & The Race of Lyfe",2017-08-10
102,"Foot Drizzles",2017-08-03
101,"Bart Kwan is Plan B",2017-07-27
97,"Ari Shaffir & The Chocolate Bar",2017-07-23
100,"A Family Affair",2017-07-20
99,"Eddie Pepitone Hates Your Violence",2017-07-13
98,"Erik Griffin & The One Up",2017-07-06
96,"Theo Von & The Peace Meats",2017-06-22
95,"Bob Bunyan and the Nest of Bees",2017-06-15
94,"Andrew Santino & The Purry Gates",2017-06-08
93,"The Captain’s Trajectory",2017-06-01
92,"Brent Morin and the Whitecraft",2017-05-25
91,"Lemonade, Lemonide",2017-05-18
90,"Swallow for Swallow",2017-05-11
89,"Eric Stonestreet & the Six Point Five",2017-05-04
88,"Bryan Callen & The Act of Faith",2017-04-27
87,"Up in Da Club",2017-04-20
86,"Al Madrigal is our Bossman",2017-04-13
85,"Jordan Peele is our GOAT",2017-04-06
84,"David So, the Human Grenade",2017-03-30
83,"Snickers Trickers",2017-03-24
82,"Fahim Anwar and Toefingers",2017-03-17
81,"Moth in a Jar",2017-03-10
80,"Chris D’Elia & Toki the Dumdum",2017-03-03
79,"Esther Ku and the Spectacle of Life",2017-02-24
78,"Twenty Five Percent",2017-02-17
77,"The Slept King",2017-02-03
76,"The EmpERROR’S Dick Cereal",2017-01-27
75,"Ian Edwards is our #FFFL",2017-01-20
74,"Panic on La Cienega",2017-01-13
73,"Steve Lee is Mr. Pringles",2017-01-06
72,"Emperor Error",2016-12-23
71,"Margaret Cho and the Yellow Telephone",2016-12-16
70,"Tricknuts and Chips",2016-12-09
69,"Michael Rosenbaum and Other Big Things",2016-12-02
68,"Ballpark 6",2016-11-26
67,"Hey Everybody Hello",2016-11-18
66,"Mr President",2016-11-11
65,"Hi Papaps",2016-11-04
64,"Hearsay Theirsay",2016-10-28
63,"Rodrigo Rodrigo",2016-10-21
62,"David So and the Language of Love",2016-10-14
61,"The Good Friend",2016-10-07
60,"Off The Wall",2016-09-30
59,"Fun Facts",2016-09-23
58,"Mr. Magoo and Leaky Lee",2016-09-16
57,"Rennazzisi and the Potatoes",2016-09-09
56,"Esther the Friendly Ghost",2016-09-02
55,"This Doesn’t Concern You, Man",2016-08-26
54,"Jade Catta-Preta and the Indian Giver",2016-08-19
53,"Blood Feet",2016-08-12
52,"God’s Toe",2016-08-05
51,"Make It Spread 2016",2016-07-29
50,"Steeb and the Little Birdy",2016-07-22
49,"Tip Toeing",2016-07-15
48,"Witaske",2016-07-08
47,"Bacon Man",2016-07-05
46,"Giraffe Bear",2016-06-24
45,"Love One Another",2016-06-17
44,"Crime and Punishment",2016-06-10
43,"So Punk Rock",2016-06-03
42,"Sunshine on my Shoulder",2016-05-27
41,"Second in the Family",2016-05-20
40,"Man Up",2016-05-13
39,"Ring and Sweats",2016-05-06
38,"This One Is Broken",2016-04-29
37,"Erik Griffin and the Oily Poll",2016-04-15
34,"East Meets East w/ Asa Akira",2016-03-25
33,"Flower Shielding",2016-03-18
32,"The Tip Over",2016-03-11
31,"Good Morning Sweetie",2016-03-04
30,"George Has a Pink Dick",2016-02-26
29,"Asa Akira and the Dark Hole of Suffering",2016-02-19
